# WHI-798 asset × venue coverage matrix
# snapshot_date_utc: 2026-08-03
# present: yes | no | n/a | partial
# instrument: venue-native symbol / mint / address (representative)
# notes: multipliers (1000/k), wraps, HIP-3 dex prefix
# prop AMM pairs reuse WHI-797 onlyDirect findings
# sources: Binance exchangeInfo+fapi, Bybit instruments-info, HL info meta/perpDexs/xyz/spotMeta,
#          Lighter orderBooks, ApeX omni symbols, Jupiter token search, WHI-797 asset-matrix.tsv
# v2 (2026-08-03): Binance *B tokens = bStocks (BTech/Binance affiliate, ADGM-approved, live 2026-06-12).
# v1's *B exclusion is REVERSED - bStocks are the highest-volume tokenized stock family and are in scope.
# prop_amm_tessera_evm column (v2): Tessera on Base/BSC via KyberSwap includedSources=tessera (WHI-797 v2 s7.4).
section	logical	binance_spot	binance_perp	bybit_spot	bybit_perp	hl_main_perp	hl_spot_or_hip3	lighter_perp	apex	prop_amm_humidifi	prop_amm_tesserav	prop_amm_bisonfi	prop_amm_tessera_evm	uniswap_eth	aerodrome_base	pancake_bsc	instrument_notes
stocks	AMD	yes:AMDBUSDT(bStocks; WHI-883 2026-08-06)	yes:AMDUSDT(TRADIFI)	no	yes:AMDSTOCKUSDT	no	yes:xyz:AMD	yes:AMD	yes:AMD-USDT	no	no	no	unverified	n/a	n/a	live_thin(*B pool; WHI-883)	Bybit linear symbol is AMDSTOCKUSDT (not AMDUSDT); Sol AMDx XsXcJ6GZ9kVnjqGsjBnktRcuwMBmvKWh8S93RefZ1rF; see WHI-883
stocks	SPCX	yes:SPCXBUSDT(bStocks)	unverified	yes:SPCXXUSDT	unverified	no	unverified	unverified	unverified	no	no	no	yes:bsc SPCXB/USDT	n/a	n/a	yes:SPCXB/USDT v3 (~$10M/24h)	SpaceX (IPO 2026-06); Sol xStock SPCXx + Backpack SPCX
stocks	SKHY	yes:SKHYBUSDT(bStocks)	unverified	no	unverified	no	unverified	unverified	unverified	no	no	no	no(SKHYB probed 4000)	n/a	n/a	yes:SKHYB/USDT v3	SK Hynix (quad listing 2026-07-10: SKHYB/SKHY/SKHYx/SKHYon); Backpack SKHY $5.2M/24h on Sol
stocks	MU	yes:MUBUSDT(bStocks)	unverified	no	unverified	no	unverified	unverified	unverified	no	no	no	no(MUB probed 4000)	n/a	n/a	yes:MUB/USDT v3	Micron; Ondo MUon $2.2M/24h
stocks	SNDK	yes:SNDKBUSDT(bStocks)	unverified	no	unverified	no	unverified	unverified	unverified	no	no	no	no(SNDKB probed 4000)	n/a	n/a	yes:SNDKB/USDT v3	SanDisk; Backpack SNDK on Sol
stocks	NBIS	yes:NBISBUSDT(bStocks)	unverified	no	unverified	no	unverified	unverified	unverified	no	no	no	unverified	n/a	n/a	unverified(*B pool)	Nebius; NBISon (Ondo)
stocks	MCD	unverified(MCDB)	unverified	yes:MCDXUSDT	unverified	no	unverified	unverified	unverified	no	no	no	unverified	n/a	n/a	unverified	McDonald's; Bybit spot xStock MCDX
others	DOGE	yes:DOGEUSDT	yes:DOGEUSDT	yes:DOGEUSDT	yes:DOGEUSDT	yes:DOGE	n/a	yes:DOGE	yes:DOGE-USDT	no	no	no	no	partial	partial	partial	CEX+perp intersection; no prop direct
others	WIF	yes:WIFUSDT	yes:WIFUSDT	yes:WIFUSDT	yes:WIFUSDT	yes:WIF	n/a	yes:WIF	yes:WIF-USDT	no	no	no	no	partial	partial	partial	prop WHI-797 no routes
others	XRP	yes:XRPUSDT	yes:XRPUSDT	yes:XRPUSDT	yes:XRPUSDT	yes:XRP	n/a	yes:XRP	yes:XRP-USDT	no	no	no	no	partial	partial	partial	
others	BNB	yes:BNBUSDT	yes:BNBUSDT	yes:BNBUSDT	yes:BNBUSDT	yes:BNB	n/a	yes:BNB	yes:BNB-USDT	no	no	no	no	n/a	n/a	yes:WBNB	native to BSC AMM
others	AVAX	yes:AVAXUSDT	yes:AVAXUSDT	yes:AVAXUSDT	yes:AVAXUSDT	yes:AVAX	n/a	yes:AVAX	yes:AVAX-USDT	no	no	no	no	partial	partial	partial	
others	LINK	yes:LINKUSDT	yes:LINKUSDT	yes:LINKUSDT	yes:LINKUSDT	yes:LINK	n/a	yes:LINK	yes:LINK-USDT	no	no	no	no	partial	partial	partial	
others	SUI	yes:SUIUSDT	yes:SUIUSDT	yes:SUIUSDT	yes:SUIUSDT	yes:SUI	n/a	yes:SUI	yes:SUI-USDT	no	no	no	no	partial	partial	partial	
others	ADA	yes:ADAUSDT	yes:ADAUSDT	yes:ADAUSDT	yes:ADAUSDT	yes:ADA	n/a	yes:ADA	yes:ADA-USDT	no	no	no	no	partial	partial	partial	
others	PEPE	yes:PEPEUSDT	yes:1000PEPEUSDT	yes:PEPEUSDT	yes:1000PEPEUSDT	yes:kPEPE	n/a	yes:1000PEPE	yes:1000PEPE-USDT	no	no	no	no	partial	partial	partial	NORMALIZE 1000x vs k prefix before compare; P1 not P0
others	BONK	yes:BONKUSDT	yes:1000BONKUSDT	yes:BONKUSDT	yes:1000BONKUSDT	yes:kBONK	n/a	yes:1000BONK	yes:1000BONK-USDT	no	no	no	no	partial	partial	partial	NORMALIZE 1000x vs k prefix; P1 not P0
others	JUP	yes:JUPUSDT	yes:JUPUSDT	yes:JUPUSDT	yes:JUPUSDT	yes:JUP	n/a	yes:JUP	yes:JUP-USDT	yes:USDC/JUP only	no	no	no	n/a	n/a	n/a	prop only HumidiFi; mint JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN
# address_ref (canonical, not invented)
# eth_weth=0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
# eth_wbtc=0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599
# eth_usdc=0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
# base_weth=0x4200000000000000000000000000000000000006
# base_cbbtc=0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf
# base_usdc=0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913
# bsc_btcb=0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c
# bsc_eth=0x2170Ed0880ac9A755fd29B2688956BD959F933F8
# bsc_usdt=0x55d398326f99059fF775485246999027B3197955
# sol_wsol=So11111111111111111111111111111111111111112
# sol_usdc=EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v
# sol_cbbtc=cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij
# sol_weth_wormhole=7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs
# v2 bsc stocks addresses: QQQB=0x205812cdbed920aff76c6580abd681a46d11efc7 SPCXB=0xbe9d156892e55e7154bcd3cb0fea677f9d3103e1 NVDAB=0x02fca66c1d1afb4e2a7884261eb00f63598a7436 NVDAon=0xa9ee28c80f960b889dfbd1902055218cba016f75 TSLAB=0x5b1910eaad6450e50f816082aa078c41f10c292f SKHYB=0xca750ef65f295bbecd685abf54e82caf297bdb61 SNDKB=0x3ee4df61bd4f867e349beae8bfe07bc31b4850fb MUB=0xcdf2f3e0fa43c47a6662a91c9e4a7c5f69762699
